Input Address: 0, Input Data: -15487858
Output Address: 0000000000, Output Data (Fixed): 2759, Output Data (Float): 0.00016444921493530273
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 46297351980
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 0
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 0
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 2314867599
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 2314867599
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 4629735198
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 4629735198
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 6944602797
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 6944602797
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 9259470396
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 9259470396
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 11574337995
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 11574337995
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 13889205594
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 13889205594
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 16204073193
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 16204073193
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 18518940792
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 18518940792
Input: -15487858, Weight: 2144942206, Multiplication Result: -33220560304734748, Accumulation Result: 20833808391
Input Address: 1, Input Data: -15222356
Output Address: 0000000001, Output Data (Fixed): 3821, Output Data (Float): 0.00022774934768676758
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 64118050182
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 0
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 0
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 4294945177
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 4294945177
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 8589890354
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 8589890354
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 12884835531
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 12884835531
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 17179780708
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 17179780708
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 21474725885
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 21474725885
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 25769671062
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 25769671062
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 30064616239
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 30064616239
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 34359561416
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 34359561416
Input: -15222356, Weight: 24378, Multiplication Result: -371090594568, Accumulation Result: 38654506593
Input Address: 2, Input Data: -21143788
Output Address: 0000000010, Output Data (Fixed): 5119, Output Data (Float): 0.0003051161766052246
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 85897866488
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 0
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 0
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 4294829949
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 4294829949
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 8589659898
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 8589659898
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 12884489847
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 12884489847
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 17179319796
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 17179319796
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 21474149745
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 21474149745
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 25768979694
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 25768979694
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 30063809643
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 30063809643
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 34358639592
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 34358639592
Input: -21143788, Weight: 108982, Multiplication Result: -2304292303816, Accumulation Result: 38653469541
Input Address: 3, Input Data: -18726055
Output Address: 0000000011, Output Data (Fixed): 5119, Output Data (Float): 0.0003051161766052246
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 85893999429
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 0
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 0
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 4294541110
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 4294541110
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 8589082220
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 8589082220
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 12883623330
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 12883623330
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 17178164440
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 17178164440
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 21472705550
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 21472705550
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 25767246660
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 25767246660
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 30061787770
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 30061787770
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 34356328880
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 34356328880
Input: -18726055, Weight: 381832, Multiplication Result: -7150207032760, Accumulation Result: 38650869990
Input Address: 4, Input Data: -27169054
Output Address: 0000000100, Output Data (Fixed): 5116, Output Data (Float): 0.00030493736267089844
Input: -27169054, Weight: 3986400, Multiplication Result: -108306716865600, Accumulation Result: 85836557618
Input: -27169054, Weight: 3986400, Multiplication Result: -108306716865600, Accumulation Result: 0
Input: -27169054, Weight: 3986400, Multiplication Result: -108306716865600, Accumulation Result: 0
Input: -27169054, Weight: 3986400, Multiplication Result: -108306716865600, Accumulation Result: 4288511712
Input: -27169054, Weight: 3986400, Multiplication Result: -108306716865600, Accumulation Result: 4288511712
Input: -27169054, Weight: 3986400, Multiplication Result: -108306716865600, Accumulation Result: 8577023424
Input: -27169054, Weight: 3986400, Multiplication Result: -108306716865600, Accumulation Result: 8577023424
Input: -27169054, Weight: 3986400, Multiplication Result: -108306716865600, Accumulation Result: 12865535136
Input: -27169054, Weight: 3986400, Multiplication Result: -108306716865600, Accumulation Result: 12865535136
